symbol,effective_from,effective_to,index_name,source,notes
DELHIVERY,2022-08-08,2025-03-27,NIFTY200,niftyindices_pr_scraped,
DEVYANI,2023-03-31,2024-03-27,NIFTY200,niftyindices_pr_scraped,
DHANI,2018-01-01,2022-03-30,NIFTY200,niftyindices_pr_scraped,
DHFL,2018-01-01,2019-09-26,NIFTY200,niftyindices_pr_scraped,
DISHTV,2018-01-01,2019-09-26,NIFTY200,niftyindices_pr_scraped,
DIVISLAB,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
DIXON,2021-03-31,,NIFTY200,niftyindices_pr_scraped,
DLF,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
DMART,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
DRREDDY,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
EDELWEISS,2018-01-01,2021-03-30,NIFTY200,niftyindices_pr_scraped,
EICHERMOT,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
EMAMILTD,2018-01-01,2018-09-27,NIFTY200,niftyindices_pr_scraped,
EMAMILTD,2019-09-27,2023-03-30,NIFTY200,niftyindices_pr_scraped,
ENDURANCE,2018-01-01,2022-03-30,NIFTY200,niftyindices_pr_scraped,
ENGINERSIN,2018-01-01,2020-06-25,NIFTY200,niftyindices_pr_scraped,
ENRIN,2025-09-30,,NIFTY200,niftyindices_pr_scraped,
ESCORTS,2018-09-28,2025-09-29,NIFTY200,niftyindices_pr_scraped,
ETERNAL,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
EXIDEIND,2018-01-01,2022-09-29,NIFTY200,niftyindices_pr_scraped,
EXIDEIND,2024-09-30,,NIFTY200,niftyindices_pr_scraped,
FACT,2023-09-29,2025-03-27,NIFTY200,niftyindices_pr_scraped,
FCONSUMER,2018-04-02,2020-06-25,NIFTY200,niftyindices_pr_scraped,
FEDERALBNK,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
FLUOROCHEM,2023-03-31,2024-03-27,NIFTY200,niftyindices_pr_scraped,
FORTIS,2019-12-27,2024-09-29,NIFTY200,niftyindices_pr_scraped,
FORTIS,2025-09-30,,NIFTY200,niftyindices_pr_scraped,
FRETAIL,2018-01-01,2021-03-30,NIFTY200,niftyindices_pr_scraped,
GAIL,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
GICRE,2018-04-02,2021-03-30,NIFTY200,niftyindices_pr_scraped,
GLAND,2021-06-30,2024-09-29,NIFTY200,niftyindices_pr_scraped,
GLAXO,2018-01-01,2018-04-01,NIFTY200,niftyindices_pr_scraped,
GLENMARK,2018-01-01,2022-09-29,NIFTY200,niftyindices_pr_scraped,
GLENMARK,2025-03-28,,NIFTY200,niftyindices_pr_scraped,
