date,fii,dii,net_flow,port_val,port_ret,nifty_ret,port_ret_next
2026-04-01,-8331.15,7171.8,-1159.3499999999995,205024.04,3.440726357345203,1.5583438566323604,0.4558977571605727
2026-04-02,-9931.13,7208.41,-2722.7199999999993,205958.74000000002,0.4558977571605727,0.14859299628737777,3.4276041200145047
2026-04-08,-2811.97,4168.17,1356.2000000000003,218697.4,3.4276041200145047,3.7783827380192925,-0.1986351918221274
2026-04-09,-1711.19,955.9,-755.2900000000001,218262.99,-0.1986351918221274,-0.926143928392098,0.6896863274896026
2026-04-10,672.09,410.05,1082.14,219768.32,0.6896863274896026,1.1587753574117565,2.4649974493756055
2026-04-15,666.15,-568.98,97.16999999999996,223700.65000000002,2.4649974493756055,1.6300620946077649,0.8538787902927059
2026-04-17,683.2,-4721.48,-4038.2799999999997,228904.66000000003,0.8538787902927059,0.6480209118993274,1.5601906125772835
2026-04-21,-1918.99,2221.27,302.28,230103.37,1.5601906125772835,0.8690798424779933,-0.7711273415943354
2026-04-22,-2078.36,-1048.17,-3126.53,228328.98,-0.7711273415943354,-0.8076788489864373,-1.6474643093813413
2026-04-24,-8827.87,4700.71,-4127.160000000001,222922.12,-1.6474643093813413,-1.1380442269386726,2.4144620551787233
2026-04-27,-1151.48,4123.92,2972.44,228304.49,2.4144620551787233,0.8149234557775831,-0.8019290378388777
2026-04-28,-2103.74,1712.01,-391.7299999999998,226473.65000000002,-0.8019290378388777,-0.40261157944107007,-0.9582656176497117
2026-04-30,-8047.86,3487.1,-4560.76,225193.41,-0.9582656176497117,-0.7449028338155417,1.2649659685867176
2026-05-04,2835.62,4764.16,7599.78,228042.02999999997,1.2649659685867176,0.5073434579780045,1.3576537118049181
2026-05-06,-5834.9,6836.87,1001.9700000000003,231603.08000000002,1.3576537118049181,1.2405961852135494,0.4909002073720137
2026-05-07,-340.89,441.07,100.18,232740.02,0.4909002073720137,-0.017672963858783586,-2.6717074621568027
2026-05-12,-1959.39,7990.32,6030.929999999999,221443.55999999997,-2.6717074621568027,-1.8319732447088732,1.5811168431393074
2026-05-19,-2457.49,3801.68,1344.19,222105.7,1.5811168431393074,-0.13509542303472566,-0.3009828203418441
2026-05-20,-1597.35,1968.35,371.0,221437.2,-0.3009828203418441,0.173596409518173,0.44992891889887865
2026-05-21,-1891.21,2492.42,601.21,222433.50999999998,0.44992891889887865,-0.018174901728729154,0.6832693509175147
2026-05-22,-4440.47,6003.53,1563.0599999999995,223953.33000000002,0.6832693509175147,0.27309583296342144,1.0796579805265605
2026-05-25,821.75,3856.88,4678.63,226371.26,1.0796579805265605,1.3170709085006838,-1.391196620552837
2026-05-29,-21105.86,16764.14,-4341.720000000001,224556.71999999997,-1.391196620552837,-1.5033159535954743,1.6950304597975752
2026-06-02,-8362.92,9589.32,1226.3999999999996,227713.58,1.6950304597975752,0.43173128736753164,-1.5883418107958125
2026-06-03,-5616.56,5740.89,124.32999999999993,224096.71000000002,-1.5883418107958125,-0.33193448179683616,-0.3496615367534872
2026-06-04,-4447.06,4360.14,-86.92000000000007,223313.13,-0.3496615367534872,0.04678367570154496,-0.0982924738908264
2026-06-05,-8776.25,9133.57,357.3199999999997,223093.62999999998,-0.0982924738908264,-0.21288362290772245,-1.6246586690978004
2026-06-08,-5555.67,5165.24,-390.4300000000003,219469.12,-1.6246586690978004,-1.0429371712736502,
