date,fii,dii,ndq_overnight,ndq_sameday,port_ret
2026-03-26,-4367.3,3566.15,0.7716686495385705,-2.3791359297075876,
2026-03-31,-8331.15,7171.8,-0.7337985149493353,3.827862422484163,
2026-04-01,-8331.15,7171.8,3.827862422484163,1.1593841838405838,3.440726357345203
2026-04-02,-9931.13,7208.41,1.1593841838405838,0.17504032616484366,0.4558977571605727
2026-04-08,-2811.97,4168.17,0.09778793098211835,2.8029105291791367,3.4276041200145047
2026-04-09,-1711.19,955.9,2.8029105291791367,0.8280528754784022,-0.1986351918221274
2026-04-10,672.09,410.05,0.8280528754784022,0.3525949632005032,0.6896863274896026
2026-04-15,666.15,-568.98,1.9640482473783916,1.5945605830651965,2.4649974493756055
2026-04-17,683.2,-4721.48,0.3609244545592194,1.5175945510511601,0.8538787902927059
2026-04-21,-1918.99,2221.27,-0.2619281725804501,-0.5918184547990535,1.5601906125772835
2026-04-22,-2078.36,-1048.17,-0.5918184547990535,1.6389530717891398,-0.7711273415943354
2026-04-24,-8827.87,4700.71,-0.8884505234035278,1.6289854507232526,-1.6474643093813413
2026-04-27,-1151.48,4123.92,1.6289854507232526,0.20332896126786792,2.4144620551787233
2026-04-28,-2103.74,1712.01,0.20332896126786792,-0.8972472953050814,-0.8019290378388777
2026-04-30,-8047.86,3487.1,0.03827249988239689,0.887886270384497,-0.9582656176497117
2026-05-04,2835.62,4764.16,0.8923595334057399,-0.18570461013891482,1.2649659685867176
2026-05-06,-5834.9,6836.87,1.0305254951532117,2.0248201219420503,1.3576537118049181
2026-05-07,-340.89,441.07,2.0248201219420503,-0.12670889389402307,0.4909002073720137
2026-05-12,-1959.39,7990.32,0.10306205935852741,-0.7076604802653486,-2.6717074621568027
2026-05-19,-2457.49,3801.68,-0.5125240629667793,-0.8432862066224178,1.5811168431393074
2026-05-20,-1597.35,1968.35,-0.8432862066224178,1.5447910900689754,-0.3009828203418441
2026-05-21,-1891.21,2492.42,1.5447910900689754,0.08656232695711807,0.44992891889887865
2026-05-22,-4440.47,6003.53,0.08656232695711807,0.1934769749697418,0.6832693509175147
2026-05-25,821.75,3856.88,0.1934769749697418,,1.0796579805265605
2026-05-29,-21105.86,16764.14,0.9100007014480438,0.2048797158850313,-1.391196620552837
2026-06-02,-8362.92,9589.32,0.4233604666074475,0.026174524083333317,1.6950304597975752
2026-06-03,-5616.56,5740.89,0.026174524083333317,-0.8855126741294739,-1.5883418107958125
2026-06-04,-4447.06,4360.14,-0.8855126741294739,-0.08572111414465455,-0.3496615367534872
2026-06-05,-8776.25,9133.57,-0.08572111414465455,-4.179989127532524,-0.0982924738908264
2026-06-08,-5555.67,5165.24,-4.179989127532524,0.8566211874473373,-1.6246586690978004
